Year,Actual,Predicted
2019,35.087280587,31.814190236164716
1982,107.449966493,100.5995923525245
1984,97.765358832,91.50592628860026
2003,79.505784929,79.34432926820887
1958,139.711357653,136.2105912859827
1983,88.329306578,94.84017212237384
1974,116.458556323,124.0555943007921
2003,84.998402291,79.34432926820887
2021,27.72568612,30.892298141549794
2017,35.947452198,34.22417547741022
1988,84.316752458,85.00260622321063
2000,107.882410797,107.87376021796686
1993,104.051579272,110.99144383390586
2014,31.073713677,34.53962218344619
2021,34.375732735,30.892298141549794
1986,81.569623844,85.37925316872033
1976,121.939714192,129.87424386091936
1988,90.184683648,85.00260622321063
1996,120.797963818,127.47963734537451
1979,130.691294692,125.89863634900327
1982,93.627684206,100.5995923525245
2001,103.880952015,97.5062852967885
2021,31.147144946,30.892298141549794
1977,130.617658947,129.87424386091936
2012,37.185243391,35.557045390243424
2013,39.133622938,35.557045390243424
1967,120.274485082,113.65082002888767
1975,134.979937078,130.25555022898277
2016,29.609461286,33.417433768694316
2006,62.690388088,57.76839819634467
1992,100.362550448,100.03180209712264
2004,71.062484615,71.04628698512278
1995,125.650264487,126.98496121801264
1961,113.868013551,117.49671773671021
2006,57.922527134,57.76839819634467
1981,107.900789595,107.76016205107484
1976,137.642057943,129.87424386091936
2013,35.713846089,35.557045390243424
1978,128.54511758,125.22838223425714
2019,28.384273334,31.814190236164716
1957,144.480996489,137.17956859053646
2017,29.160920471,34.22417547741022
2010,42.206550152,42.1104723795576
2014,34.629542448,34.53962218344619
1972,118.968069143,113.37615594834881
2011,39.009622615,42.1104723795576
1999,123.646996896,114.02609904976944
2012,40.720296141,35.557045390243424
1973,128.353167844,117.3675010149418
1962,117.942552977,117.49671773671021
1985,89.608906822,89.45597626044369
1958,125.752681791,136.2105912859827
1978,136.236889196,125.22838223425714
2018,28.766904968,34.88547924160063
2020,34.691097529,30.31552025233168
1998,117.305001489,128.80934252993745
1959,121.497013629,128.4206255986314
1967,113.654276544,113.65082002888767
2007,53.039800154,52.93618582953395
2011,42.66784453,42.1104723795576
1956,141.808481656,141.3068667743651
1979,115.392014386,125.89863634900327
2005,68.970387848,64.10334989810211
1976,129.97183023,129.87424386091936
1961,127.208452161,117.49671773671021
1991,97.472966394,88.31839066829647
1998,124.328673151,128.80934252993745
1975,119.695429473,130.25555022898277
1980,108.204463616,119.37417013680592
2011,35.166582526,42.1104723795576
1982,100.714848834,100.5995923525245
1981,114.851152913,107.76016205107484
2018,32.243146735,34.88547924160063
1986,93.801145192,85.37925316872033
1969,107.85779195,117.74119214874877
1972,126.06401794,113.37615594834881
2022,34.068455936,30.892298141549794
2022,27.418552708,30.892298141549794
